(y, x, P(y))
268.0, 1585.6663273763168, -6.435518166124839 E10
269.0, 1591.583020963638, -6.811529877312637 E10
270.0, 1597.4997125267093, -7.208399187373245 E10
271.0, 1603.416402209127, -7.627221815148175 E10
272.0, 1609.3330901449308, -8.069147843424916 E10
273.0, 1615.249776459197, -8.535384258543993 E10
274.0, 1621.1664612685952, -9.027197601324915 E10
275.0, 1627.0831446819163, -9.545916733872221 E10
276.0, 1632.9998268005677, -1.0092935726995988 E11
277.0, 1638.9165077190407, -1.0669716873161238 E11
278.0, 1644.8331875253507, -1.1277793830067336 E11
279.0, 1650.7498663014514, -1.1918774900151276 E11
280.0, 1656.6665441236228, -1.2594346451507834 E11
281.0, 1662.5832210628396, -1.3306276485927177 E11
282.0, 1668.4998971851144, -1.405641835996365 E11
283.0, 1674.4165725518226, -1.4846714665170337 E11
284.0, 1680.3332472200043, -1.5679201273863864 E11
285.0, 1686.2499212426537, -1.6556011557020465 E11
286.0, 1692.1665946689845, -1.7479380781147784 E11
287.0, 1698.0832675446823, -1.8451650691233002 E11
288.0, 1703.9999399121423, -1.9475274287127448 E11
289.0, 1709.9166118106884, -2.0552820800999924 E11
290.0, 1715.833283276784, -2.1686980883771494 E11
291.0, 1721.7499543442243, -2.288057200873368 E11
292.0, 1727.6666250443197, -2.4136544100851605 E11
293.0, 1733.5832954060668, -2.5457985400563858 E11
294.0, 1739.499965456308, -2.6848128571210675 E11
295.0, 1745.4166352198815, -2.831035705955306 E11
296.0, 1751.3333047197616, -2.984821171918696 E11
297.0, 1757.2499739771881, -3.146539770701202 E11
298.0, 1763.1666430117912, -3.3165791663276874 E11
299.0, 1769.0833118417036, -3.495344918610272 E11
300.0, 1774.9999804836687, -3.6832612611777 E11
301.0, 1780.9166489531399, -3.8807719112508276 E11
302.0, 1786.8333172643734, -4.0883409123756134 E11
303.0, 1792.749985430516, -4.3064535113674243 E11
304.0, 1798.6666534636847, -4.5356170707649133 E11
305.0, 1804.5833213750434, -4.776362018138341 E11
306.0, 1810.499989174872, -5.029242833643114 E11
307.0, 1816.4166568726337, -5.2948390772601245 E11
308.0, 1822.3333244770336, -5.573756457213035 E11
309.0, 1828.2499919960783, -5.866627941106407 E11
310.0, 1834.1666594371259, -6.174114911381335 E11
311.0, 1840.0833268069364, -6.496908366741515 E11
312.0, 1845.999994111718, -6.835730171259354 E11
313.0, 1851.9166613571686, -7.191334352931824 E11
314.0, 1857.8333285485141, -7.564508453515725 E11
315.0, 1863.7499956905472, -7.956074931536584 E11
316.0, 1869.66666278766, -8.366892620428646 E11
317.0, 1875.5833298438747, -8.797858243832329 E11
318.0, 1881.4999968628747, -9.249907990143575 E11
319.0, 1887.4166638480294, -9.724019148481637 E11
320.0, 1893.3333308024212, -1.0221211808315308 E12
321.0, 1899.2499977288667, -1.0742550625063345 E12
322.0, 1905.1666646299393, -1.128914665406457 E12
323.0, 1911.0833315079888, -1.1862159255391902 E12
324.0, 1916.9999983651596, -1.2462798072070173 E12
325.0, 1922.9166652034075, -1.309232508434206 E12
326.0, 1928.8333320245144, -1.3752056742716343 E12
327.0, 1934.7499988301054, -1.4443366182622969 E12
328.0, 1940.6666656216582, -1.5167685523594878 E12
329.0, 1946.583332400519, -1.5926508255992986 E12
330.0, 1952.4999991679117, -1.6721391718391292 E12
331.0, 1958.4166659249483, -1.755395966884247 E12
332.0, 1964.333332672639, -1.842590495335013 E12
333.0, 1970.249999411901, -1.9338992274984849 E12
334.0, 1976.166666143566, -2.0295061067193044 E12
335.0, 1982.083332868389, -2.1296028474964795 E12
336.0, 1987.9999995870544, -2.234389244764691 E12
337.0, 1993.9166663001793, -2.3440734947310723 E12
338.0, 1999.8333330083253, -2.458872527671323 E12
339.0, 2005.7499997119987, -2.579012353101799 E12
340.0, 2011.6666664116576, -2.7047284177581885 E12
341.0, 2017.5833331077156, -2.8362659768250483 E12
342.0, 2023.4999998005453, -2.9738804788747354 E12
343.0, 2029.4166664904837, -3.117837964989495 E12
344.0, 2035.3333331778344, -3.268415482555112 E12
345.0, 2041.249999862871, -3.425901514230594 E12
346.0, 2047.1666665458388, -3.5905964226144805 E12
347.0, 2053.0833332269594, -3.762812911144783 E12
348.0, 2058.9999999064316, -3.9428765017868804 E12
349.0, 2064.9166665844346, -4.1311260300811523 E12
350.0, 2070.833333261128, -4.327914158140426 E12
351.0, 2076.7499999366555, -4.533607906205956 E12
352.0, 2082.666666611146, -4.748589203389512 E12
353.0, 2088.5833332847155, -4.973255458249818 E12
354.0, 2094.499999957466, -5.208020149870592 E12
